ID,population_2017
"indiana,ripley",28485
"indiana,rush",16659
"indiana,scott",269994
"indiana,shelby",23853
"indiana,spencer",44404
"indiana,st joseph",20417
"indiana,starke",22944
"indiana,steuben",34421
"indiana,sullivan",20699
"indiana,switzerland",10674
"indiana,tippecanoe",191670
"indiana,tipton",15139
"indiana,union",7162
"indiana,vanderburgh",180900
"indiana,vermillion",15487
"indiana,vigo",107681
"indiana,wabash",31410
"indiana,warren",8198
"indiana,warrick",62505
"indiana,washington",27788
"indiana,wayne",66178
"indiana,wells",28014
"indiana,white",24165
"indiana,whitley",33777
"iowa,adair",7053
"iowa,adams",3663
"iowa,allamakee",13804
"iowa,appanoose",12363
"iowa,audubon",5566
"iowa,benton",25633
"iowa,black hawk",132409
"iowa,boone",26476
"iowa,bremer",24822
"iowa,buchanan",21156
"iowa,buena vista",20102
"iowa,butler",14582
"iowa,calhoun",9749
"iowa,carroll",20273
"iowa,cass",13126
"iowa,cedar",18551
"iowa,cerro gordo",42997
"iowa,cherokee",11330
"iowa,chickasaw",12036
"iowa,clarke",9331
"iowa,clay",16153
"iowa,clayton",17650
"iowa,clinton",46902
"iowa,crawford",17119
"iowa,dallas",87215
"iowa,davis",8991
"iowa,decatur",7943
"iowa,delaware",17158
"iowa,des moines",39320
"iowa,dickinson",17173
"iowa,dubuque",97009
"iowa,emmet",9414
"iowa,fayette",19708
"iowa,floyd",15761
"iowa,franklin",10159
"iowa,fremont",6952
"iowa,greene",8969
"iowa,grundy",12322
"iowa,guthrie",10667
"iowa,hamilton",15069
"iowa,hancock",10773
"iowa,hardin",17007
"iowa,harrison",14129
"iowa,henry",20060
"iowa,howard",9219
"iowa,humboldt",9578
"iowa,ida",6856
"iowa,iowa",16118
"iowa,jackson",19368
"iowa,jasper",36985
"iowa,jefferson",18233
"iowa,johnson",149213
"iowa,jones",20684
"iowa,keokuk",10149
"iowa,kossuth",14970
"iowa,lee",34243
"iowa,linn",224277
"iowa,louisa",11203
"iowa,lucas",8550
"iowa,lyon",11797
"iowa,madison",16030
"iowa,mahaska",22197
